"type","dist_m"
"Roadkill",85.7404143971625
"Roadkill",10371.1293172787
"Roadkill",1508.32089158604
"Roadkill",1017.31586612944
"Roadkill",20298.4378574241
"Roadkill",9080.12836359271
"Roadkill",8554.3747226902
"Roadkill",2256.57726614732
"Roadkill",2256.72255463998
"Roadkill",8548.09121030081
"Roadkill",8454.58397374499
"Roadkill",1042.44388902177
"Roadkill",1491.95897722345
"Roadkill",139.618676073194
"Roadkill",7702.38759444376
"Roadkill",1381.2389135156
"Random",3049.8178407532
"Random",784.226206668893
"Random",49.2286134059071
"Random",171.848494308768
"Random",5406.51793543281
"Random",219.65139467282
"Random",94.8600217101666
"Random",7445.94595214659
"Random",361.432292330343
"Random",54.0278094845513
"Random",41.536610113199
"Random",4786.67855094674
"Random",1169.39127842188
"Random",28.0616640085496
"Random",1594.63821442159
"Random",86.4890381022238
